Case,Age,Years_in_post,Highest_LOE,PTI1,PTI2,PTI3,PTI4,PTI5,PTI6,PTI7,PTI8,PTI9,PTI10,PTI11,PTI12,PTI13,PTI14,PTI15,PTI16,PTI17,PTI18,PTI19,PTI20,PTI21,PTI22,PTI23,PTI24,PTI25,PTI26,PTI27,PTI28,PTI29,PTI30,PTI31,PTI32,PTI33,PTI34,PTI35,PTI36,PTI37,Specific_training_needs,Other_training_needs,PTP1,PTP2,PTP3,PTP4,PTP5,PTP6,PTP7,PTP8,PTP9,PTP10,PTP11,PTP12,PTP13,PTP14,PTP15,PTP16,PTP17,PTP18,PTP19,PTP20,PTP21,PTP22,PTP23,PTP24,PTP25,PTP26,PTP27,PTP28,PTP29,PTP30,PTP31,PTP32,PTP33,PTP34,PTP35,PTP36,PTP37
66,47,12,1,7,7,5,6,7,5,5,4,6,7,4,7,5,7,7,5,2,7,3,4,5,5,3,2,4,7,5,5,2,7,7,5,4,7,7,7,7,7,6,3,5,2,4,5,7,5,4,6,2,5,5,5,7,7,6,4,7,7,7,2,5,6,2,4,6,7,5,4,3,5,3,4,4,3,6,6
67,37,8,1,7,6,5,6,6,5,7,7,7,5,7,7,7,6,7,7,5,6,7,7,4,7,7,4,6,7,6,7,6,7,7,6,7,7,7,7,7,2,1,6,6,2,5,5,7,3,6,5,5,6,5,7,6,5,6,5,6,6,7,4,4,7,5,6,3,6,6,6,3,5,4,3,4,4,5,6
68,42,19,2,6,7,5,6,6,6,5,7,5,7,6,7,7,7,5,7,5,5,6,7,5,7,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,1,2,6,2,4,5,5,3,6,4,7,7,5,5,5,5,6,5,5,5,5,5,5,2,5,4,3,4,6,6,3,5,4,5,6
69,35,3,2,7,7,7,5,7,7,5,7,5,7,7,7,6,7,7,7,4,7,7,7,4,7,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,2,1,5,6,1,4,6,6,2,4,4,3,4,6,6,7,7,3,4,7,5,6,4,5,4,4,4,4,5,5,7,4,3,3,5,4,4,6,6
70,32,2,1,7,7,6,6,7,7,6,7,6,6,6,6,7,6,6,7,6,7,5,6,6,7,6,6,6,6,7,7,7,7,7,6,7,7,7,7,7,6,6,4,6,1,3,6,2,2,4,2,6,5,5,7,6,6,7,6,7,5,6,1,4,7,3,6,4,6,5,3,4,6,6,5,4,5,3,4
71,40,10,1,7,7,6,7,7,7,6,7,7,7,7,7,7,7,7,6,5,6,6,7,5,6,6,7,7,7,7,7,7,7,7,6,7,7,7,7,7,2,2,4,6,2,3,6,6,3,7,3,2,4,4,7,7,7,6,5,6,6,5,5,6,5,2,3,6,7,6,7,3,5,4,4,6,3,4,4
72,31,7,2,7,7,5,7,7,6,5,7,7,6,6,7,7,7,7,7,6,7,6,6,5,7,6,5,6,7,6,6,6,6,6,6,6,7,7,7,7,5,5,5,5,1,2,5,5,5,7,3,6,3,5,7,7,7,4,6,7,4,5,5,5,7,5,3,5,6,6,6,3,5,5,4,5,5,4,6
73,43,3,2,6,6,7,6,6,7,6,7,6,5,6,6,6,6,6,6,5,6,5,7,4,6,4,5,6,6,6,6,6,6,6,6,7,6,7,7,7,7,7,6,6,1,3,4,6,3,6,5,5,6,6,6,6,6,6,5,6,5,7,4,6,4,5,6,4,6,4,6,4,6,4,4,6,4,6,5
74,31,0,2,7,7,7,6,7,7,6,7,6,5,7,7,7,7,7,6,7,6,6,7,5,7,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,1,2,1,6,6,5,6,3,3,2,5,7,7,5,7,7,5,6,6,5,5,4,7,4,5,6,5,5,6,3,5,3,3,5,3,5,4
75,33,4,2,7,7,7,7,7,7,4,7,6,6,6,7,6,7,7,6,6,7,6,7,4,6,4,4,6,7,7,7,7,7,7,7,7,7,7,7,7,5,5,4,5,1,3,3,5,5,6,4,2,6,6,6,7,7,6,6,7,6,7,4,6,4,4,3,5,6,6,7,4,4,6,4,5,3,3,3
76,55,21,2,6,6,5,5,6,7,4,7,5,6,6,6,6,7,7,6,5,6,6,7,4,6,4,6,6,7,7,7,7,7,7,6,7,7,7,7,7,5,5,6,6,1,4,5,5,4,5,5,2,6,7,6,7,6,6,6,6,7,5,4,4,4,6,6,3,5,6,7,5,5,6,5,6,4,4,3
77,42,11,2,7,6,5,7,7,7,6,7,6,7,7,7,7,7,7,7,6,6,7,7,6,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,4,7,6,4,3,6,4,4,7,5,7,7,6,7,6,6,6,6,3,5,4,4,6,3,4,7,3,3,6,4,2,6,2,5,5
